      Freq,       |Av|,       /_Av,       |Ai|,       /_Ai,       |Ap|,       /_Ap,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),     Re(Av),     Im(Av),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),     Re(Ai),     Im(Ai),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout)
 1.928e+06, -4.084e+01,  1.834e+00, -2.944e+01, -2.879e+00, -3.514e+01, -1.570e+00,  4.662e+00,  1.254e+00, -2.198e-02,  3.790e-02, -2.358e-03,  8.764e-03,  6.755e-03, -2.508e-02, -4.397e-04,  7.581e-04, -3.258e-02, -8.755e-03,  5.691e-02,  1.859e+02,  5.691e-02,  1.859e+02,  3.840e-05,  1.254e-01,  3.840e-05,  0.000e+00,
 1.968e+06, -4.139e+01,  1.828e+00, -2.980e+01, -2.885e+00, -3.559e+01, -1.571e+00,  4.676e+00,  1.230e+00, -2.027e-02,  3.586e-02, -2.168e-03,  8.239e-03,  6.481e-03, -2.460e-02, -4.054e-04,  7.171e-04, -3.131e-02, -8.230e-03,  5.241e-02,  1.900e+02,  5.241e-02,  1.900e+02,  3.393e-05,  1.230e-01,  3.393e-05, -1.694e-21,
 2.008e+06, -4.193e+01,  1.823e+00, -3.015e+01, -2.890e+00, -3.604e+01, -1.571e+00,  4.689e+00,  1.207e+00, -1.872e-02,  3.395e-02, -1.997e-03,  7.754e-03,  6.223e-03, -2.415e-02, -3.745e-04,  6.789e-04, -3.012e-02, -7.747e-03,  4.835e-02,  1.942e+02,  4.835e-02,  1.942e+02,  3.006e-05,  1.207e-01,  3.006e-05,  6.776e-21,
 2.048e+06, -4.246e+01,  1.818e+00, -3.049e+01, -2.895e+00, -3.647e+01, -1.571e+00,  4.701e+00,  1.185e+00, -1.732e-02,  3.217e-02, -1.842e-03,  7.307e-03,  5.981e-03, -2.370e-02, -3.464e-04,  6.433e-04, -2.898e-02, -7.301e-03,  4.467e-02,  1.983e+02,  4.467e-02,  1.983e+02,  2.669e-05,  1.185e-01,  2.669e-05,  0.000e+00,
 2.088e+06, -4.297e+01,  1.813e+00, -3.083e+01, -2.900e+00, -3.690e+01, -1.571e+00,  4.712e+00,  1.164e+00, -1.604e-02,  3.050e-02, -1.702e-03,  6.893e-03,  5.752e-03, -2.327e-02, -3.209e-04,  6.101e-04, -2.791e-02, -6.888e-03,  4.133e-02,  2.025e+02,  4.133e-02,  2.025e+02,  2.376e-05,  1.164e-01,  2.376e-05,  1.694e-21,
 2.129e+06, -4.348e+01,  1.808e+00, -3.116e+01, -2.904e+00, -3.732e+01, -1.571e+00,  4.723e+00,  1.143e+00, -1.488e-02,  2.895e-02, -1.576e-03,  6.511e-03,  5.537e-03, -2.286e-02, -2.977e-04,  5.790e-04, -2.690e-02, -6.506e-03,  3.830e-02,  2.066e+02,  3.830e-02,  2.066e+02,  2.119e-05,  1.143e-01,  2.119e-05,  1.694e-21,
 2.169e+06, -4.398e+01,  1.804e+00, -3.148e+01, -2.909e+00, -3.773e+01, -1.571e+00,  4.733e+00,  1.123e+00, -1.383e-02,  2.750e-02, -1.461e-03,  6.156e-03,  5.333e-03, -2.246e-02, -2.765e-04,  5.499e-04, -2.594e-02, -6.151e-03,  3.555e-02,  2.107e+02,  3.555e-02,  2.107e+02,  1.894e-05,  1.123e-01,  1.894e-05,  0.000e+00,
 2.209e+06, -4.446e+01,  1.799e+00, -3.180e+01, -2.913e+00, -3.813e+01, -1.571e+00,  4.743e+00,  1.104e+00, -1.286e-02,  2.614e-02, -1.356e-03,  5.826e-03,  5.141e-03, -2.207e-02, -2.572e-04,  5.227e-04, -2.503e-02, -5.822e-03,  3.303e-02,  2.149e+02,  3.303e-02,  2.149e+02,  1.697e-05,  1.104e-01,  1.697e-05, -1.694e-21,
 2.249e+06, -4.494e+01,  1.795e+00, -3.211e+01, -2.917e+00, -3.853e+01, -1.571e+00,  4.752e+00,  1.085e+00, -1.198e-02,  2.486e-02, -1.260e-03,  5.519e-03,  4.958e-03, -2.170e-02, -2.396e-04,  4.972e-04, -2.417e-02, -5.516e-03,  3.074e-02,  2.190e+02,  3.074e-02,  2.190e+02,  1.523e-05,  1.085e-01,  1.523e-05,  0.000e+00,
 2.289e+06, -4.541e+01,  1.791e+00, -3.242e+01, -2.921e+00, -3.892e+01, -1.571e+00,  4.761e+00,  1.067e+00, -1.117e-02,  2.367e-02, -1.173e-03,  5.234e-03,  4.785e-03, -2.134e-02, -2.234e-04,  4.733e-04, -2.335e-02, -5.231e-03,  2.864e-02,  2.231e+02,  2.864e-02,  2.231e+02,  1.370e-05,  1.067e-01,  1.370e-05,  0.000e+00,
 2.329e+06, -4.587e+01,  1.787e+00, -3.272e+01, -2.925e+00, -3.930e+01, -1.571e+00,  4.769e+00,  1.049e+00, -1.043e-02,  2.254e-02, -1.093e-03,  4.968e-03,  4.621e-03, -2.099e-02, -2.085e-04,  4.509e-04, -2.257e-02, -4.965e-03,  2.671e-02,  2.272e+02,  2.671e-02,  2.272e+02,  1.234e-05,  1.049e-01,  1.234e-05,  0.000e+00,
 2.369e+06, -4.632e+01,  1.784e+00, -3.302e+01, -2.929e+00, -3.967e+01, -1.571e+00,  4.777e+00,  1.032e+00, -9.746e-03,  2.149e-02, -1.020e-03,  4.719e-03,  4.466e-03, -2.065e-02, -1.949e-04,  4.298e-04, -2.183e-02, -4.717e-03,  2.495e-02,  2.313e+02,  2.495e-02,  2.313e+02,  1.114e-05,  1.032e-01,  1.114e-05, -8.470e-22,
 2.410e+06, -4.677e+01,  1.780e+00, -3.331e+01, -2.932e+00, -4.004e+01, -1.571e+00,  4.784e+00,  1.016e+00, -9.119e-03,  2.050e-02, -9.531e-04,  4.487e-03,  4.318e-03, -2.032e-02, -1.824e-04,  4.100e-04, -2.113e-02, -4.485e-03,  2.333e-02,  2.354e+02,  2.333e-02,  2.354e+02,  1.007e-05,  1.016e-01,  1.007e-05,  4.235e-22,
 2.450e+06, -4.721e+01,  1.777e+00, -3.360e+01, -2.936e+00, -4.040e+01, -1.571e+00,  4.791e+00,  1.000e+00, -8.542e-03,  1.957e-02, -8.914e-04,  4.270e-03,  4.177e-03, -2.000e-02, -1.708e-04,  3.914e-04, -2.046e-02, -4.269e-03,  2.184e-02,  2.395e+02,  2.184e-02,  2.395e+02,  9.117e-06,  1.000e-01,  9.117e-06,  4.235e-22,
 2.490e+06, -4.764e+01,  1.773e+00, -3.388e+01, -2.939e+00, -4.076e+01, -1.571e+00,  4.798e+00,  9.847e-01, -8.009e-03,  1.869e-02, -8.347e-04,  4.067e-03,  4.043e-03, -1.969e-02, -1.602e-04,  3.738e-04, -1.982e-02, -4.065e-03,  2.046e-02,  2.436e+02,  2.046e-02,  2.436e+02,  8.270e-06,  9.847e-02,  8.270e-06, -4.235e-22,
 2.530e+06, -4.806e+01,  1.770e+00, -3.416e+01, -2.943e+00, -4.111e+01, -1.571e+00,  4.804e+00,  9.697e-01, -7.518e-03,  1.786e-02, -7.824e-04,  3.876e-03,  3.916e-03, -1.939e-02, -1.504e-04,  3.573e-04, -1.921e-02, -3.875e-03,  1.919e-02,  2.477e+02,  1.919e-02,  2.477e+02,  7.513e-06,  9.697e-02,  7.513e-06, -4.235e-22,
 2.570e+06, -4.847e+01,  1.767e+00, -3.443e+01, -2.946e+00, -4.145e+01, -1.571e+00,  4.810e+00,  9.551e-01, -7.063e-03,  1.708e-02, -7.342e-04,  3.697e-03,  3.794e-03, -1.910e-02, -1.413e-04,  3.417e-04, -1.862e-02, -3.696e-03,  1.802e-02,  2.518e+02,  1.802e-02,  2.518e+02,  6.836e-06,  9.551e-02,  6.836e-06,  0.000e+00,
 2.610e+06, -4.888e+01,  1.764e+00, -3.470e+01, -2.949e+00, -4.179e+01, -1.571e+00,  4.816e+00,  9.410e-01, -6.642e-03,  1.635e-02, -6.896e-04,  3.529e-03,  3.678e-03, -1.882e-02, -1.328e-04,  3.270e-04, -1.806e-02, -3.528e-03,  1.694e-02,  2.559e+02,  1.694e-02,  2.559e+02,  6.228e-06,  9.410e-02,  6.228e-06,  0.000e+00,
 2.651e+06, -4.929e+01,  1.761e+00, -3.497e+01, -2.952e+00, -4.213e+01, -1.571e+00,  4.822e+00,  9.273e-01, -6.252e-03,  1.565e-02, -6.484e-04,  3.371e-03,  3.568e-03, -1.855e-02, -1.250e-04,  3.131e-04, -1.753e-02, -3.370e-03,  1.593e-02,  2.600e+02,  1.593e-02,  2.600e+02,  5.683e-06,  9.273e-02,  5.683e-06,  0.000e+00,
 2.691e+06, -4.968e+01,  1.758e+00, -3.523e+01, -2.955e+00, -4.245e+01, -1.571e+00,  4.827e+00,  9.139e-01, -5.891e-03,  1.500e-02, -6.102e-04,  3.223e-03,  3.462e-03, -1.828e-02, -1.178e-04,  3.000e-04, -1.702e-02, -3.222e-03,  1.500e-02,  2.641e+02,  1.500e-02,  2.641e+02,  5.193e-06,  9.139e-02,  5.193e-06,  2.118e-22,
 2.731e+06, -5.007e+01,  1.755e+00, -3.548e+01, -2.957e+00, -4.278e+01, -1.571e+00,  4.832e+00,  9.009e-01, -5.555e-03,  1.438e-02, -5.748e-04,  3.083e-03,  3.361e-03, -1.802e-02, -1.111e-04,  2.875e-04, -1.653e-02, -3.082e-03,  1.414e-02,  2.682e+02,  1.414e-02,  2.682e+02,  4.751e-06,  9.009e-02,  4.751e-06,  0.000e+00,
 2.771e+06, -5.046e+01,  1.752e+00, -3.574e+01, -2.960e+00, -4.310e+01, -1.571e+00,  4.837e+00,  8.883e-01, -5.242e-03,  1.379e-02, -5.419e-04,  2.951e-03,  3.264e-03, -1.777e-02, -1.048e-04,  2.758e-04, -1.607e-02, -2.950e-03,  1.334e-02,  2.722e+02,  1.334e-02,  2.722e+02,  4.353e-06,  8.883e-02,  4.353e-06,  0.000e+00,
 2.811e+06, -5.084e+01,  1.750e+00, -3.599e+01, -2.963e+00, -4.341e+01, -1.571e+00,  4.841e+00,  8.760e-01, -4.951e-03,  1.323e-02, -5.113e-04,  2.826e-03,  3.171e-03, -1.752e-02, -9.902e-05,  2.647e-04, -1.562e-02, -2.825e-03,  1.259e-02,  2.763e+02,  1.259e-02,  2.763e+02,  3.993e-06,  8.760e-02,  3.993e-06,  4.235e-22,
 2.851e+06, -5.121e+01,  1.747e+00, -3.623e+01, -2.965e+00, -4.372e+01, -1.571e+00,  4.846e+00,  8.641e-01, -4.680e-03,  1.271e-02, -4.829e-04,  2.708e-03,  3.082e-03, -1.728e-02, -9.360e-05,  2.541e-04, -1.519e-02, -2.708e-03,  1.190e-02,  2.804e+02,  1.190e-02,  2.804e+02,  3.667e-06,  8.641e-02,  3.667e-06,  0.000e+00,
 2.892e+06, -5.158e+01,  1.745e+00, -3.648e+01, -2.968e+00, -4.403e+01, -1.571e+00,  4.850e+00,  8.525e-01, -4.427e-03,  1.221e-02, -4.564e-04,  2.597e-03,  2.997e-03, -1.705e-02, -8.855e-05,  2.441e-04, -1.478e-02, -2.596e-03,  1.125e-02,  2.845e+02,  1.125e-02,  2.845e+02,  3.372e-06,  8.525e-02,  3.372e-06, -2.118e-22,
 2.932e+06, -5.194e+01,  1.742e+00, -3.672e+01, -2.970e+00, -4.433e+01, -1.571e+00,  4.854e+00,  8.411e-01, -4.192e-03,  1.173e-02, -4.317e-04,  2.492e-03,  2.916e-03, -1.682e-02, -8.383e-05,  2.346e-04, -1.438e-02, -2.491e-03,  1.065e-02,  2.886e+02,  1.065e-02,  2.886e+02,  3.104e-06,  8.411e-02,  3.104e-06,  0.000e+00,
 2.972e+06, -5.230e+01,  1.740e+00, -3.695e+01, -2.972e+00, -4.463e+01, -1.571e+00,  4.858e+00,  8.301e-01, -3.971e-03,  1.128e-02, -4.087e-04,  2.392e-03,  2.837e-03, -1.660e-02, -7.942e-05,  2.256e-04, -1.400e-02, -2.391e-03,  1.008e-02,  2.926e+02,  1.008e-02,  2.926e+02,  2.861e-06,  8.301e-02,  2.861e-06,  3.176e-22,
 3.012e+06, -5.265e+01,  1.738e+00, -3.719e+01, -2.975e+00, -4.492e+01, -1.571e+00,  4.862e+00,  8.193e-01, -3.765e-03,  1.085e-02, -3.872e-04,  2.298e-03,  2.762e-03, -1.639e-02, -7.530e-05,  2.171e-04, -1.363e-02, -2.297e-03,  9.557e-03,  2.967e+02,  9.557e-03,  2.967e+02,  2.639e-06,  8.193e-02,  2.639e-06,  1.059e-22,
 3.052e+06, -5.300e+01,  1.736e+00, -3.742e+01, -2.977e+00, -4.521e+01, -1.571e+00,  4.866e+00,  8.089e-01, -3.572e-03,  1.045e-02, -3.671e-04,  2.208e-03,  2.690e-03, -1.618e-02, -7.144e-05,  2.089e-04, -1.328e-02, -2.208e-03,  9.064e-03,  3.008e+02,  9.064e-03,  3.008e+02,  2.438e-06,  8.089e-02,  2.438e-06, -1.059e-22,
 3.092e+06, -5.335e+01,  1.733e+00, -3.764e+01, -2.979e+00, -4.549e+01, -1.571e+00,  4.869e+00,  7.986e-01, -3.391e-03,  1.006e-02, -3.482e-04,  2.123e-03,  2.620e-03, -1.597e-02, -6.782e-05,  2.012e-04, -1.294e-02, -2.123e-03,  8.602e-03,  3.048e+02,  8.602e-03,  3.048e+02,  2.254e-06,  7.986e-02,  2.254e-06, -1.059e-22,
 3.133e+06, -5.368e+01,  1.731e+00, -3.787e+01, -2.981e+00, -4.578e+01, -1.571e+00,  4.872e+00,  7.887e-01, -3.222e-03,  9.691e-03, -3.306e-04,  2.042e-03,  2.554e-03, -1.577e-02, -6.443e-05,  1.938e-04, -1.262e-02, -2.042e-03,  8.170e-03,  3.089e+02,  8.170e-03,  3.089e+02,  2.086e-06,  7.887e-02,  2.086e-06, -1.059e-22,
 3.173e+06, -5.402e+01,  1.729e+00, -3.809e+01, -2.983e+00, -4.605e+01, -1.571e+00,  4.876e+00,  7.789e-01, -3.063e-03,  9.340e-03, -3.141e-04,  1.966e-03,  2.489e-03, -1.558e-02, -6.125e-05,  1.868e-04, -1.231e-02, -1.966e-03,  7.764e-03,  3.130e+02,  7.764e-03,  3.130e+02,  1.932e-06,  7.789e-02,  1.932e-06,  0.000e+00,
 3.213e+06, -5.435e+01,  1.727e+00, -3.831e+01, -2.985e+00, -4.633e+01, -1.571e+00,  4.879e+00,  7.694e-01, -2.913e-03,  9.006e-03, -2.986e-04,  1.893e-03,  2.427e-03, -1.539e-02, -5.826e-05,  1.801e-04, -1.200e-02, -1.893e-03,  7.383e-03,  3.170e+02,  7.383e-03,  3.170e+02,  1.792e-06,  7.694e-02,  1.792e-06, -3.176e-22,
 3.253e+06, -5.468e+01,  1.725e+00, -3.852e+01, -2.987e+00, -4.660e+01, -1.571e+00,  4.882e+00,  7.602e-01, -2.773e-03,  8.687e-03, -2.840e-04,  1.824e-03,  2.368e-03, -1.520e-02, -5.546e-05,  1.737e-04, -1.171e-02, -1.824e-03,  7.025e-03,  3.211e+02,  7.025e-03,  3.211e+02,  1.663e-06,  7.602e-02,  1.663e-06, -1.059e-22,
 3.293e+06, -5.500e+01,  1.723e+00, -3.874e+01, -2.989e+00, -4.687e+01, -1.571e+00,  4.884e+00,  7.511e-01, -2.641e-03,  8.384e-03, -2.703e-04,  1.758e-03,  2.310e-03, -1.502e-02, -5.282e-05,  1.677e-04, -1.143e-02, -1.758e-03,  6.689e-03,  3.251e+02,  6.689e-03,  3.251e+02,  1.545e-06,  7.511e-02,  1.545e-06,  0.000e+00,
 3.333e+06, -5.532e+01,  1.722e+00, -3.895e+01, -2.991e+00, -4.713e+01, -1.571e+00,  4.887e+00,  7.423e-01, -2.517e-03,  8.094e-03, -2.575e-04,  1.695e-03,  2.255e-03, -1.485e-02, -5.033e-05,  1.619e-04, -1.116e-02, -1.695e-03,  6.372e-03,  3.292e+02,  6.372e-03,  3.292e+02,  1.437e-06,  7.423e-02,  1.437e-06,  0.000e+00,
 3.374e+06, -5.563e+01,  1.720e+00, -3.915e+01, -2.993e+00, -4.739e+01, -1.571e+00,  4.890e+00,  7.336e-01, -2.399e-03,  7.817e-03, -2.453e-04,  1.635e-03,  2.202e-03, -1.467e-02, -4.799e-05,  1.563e-04, -1.090e-02, -1.635e-03,  6.074e-03,  3.333e+02,  6.074e-03,  3.333e+02,  1.337e-06,  7.336e-02,  1.337e-06, -5.294e-23,
 3.414e+06, -5.594e+01,  1.718e+00, -3.936e+01, -2.994e+00, -4.765e+01, -1.571e+00,  4.892e+00,  7.252e-01, -2.289e-03,  7.552e-03, -2.339e-04,  1.578e-03,  2.150e-03, -1.450e-02, -4.578e-05,  1.510e-04, -1.065e-02, -1.578e-03,  5.793e-03,  3.373e+02,  5.793e-03,  3.373e+02,  1.245e-06,  7.252e-02,  1.245e-06,  1.059e-22,
 3.454e+06, -5.625e+01,  1.716e+00, -3.956e+01, -2.996e+00, -4.791e+01, -1.571e+00,  4.895e+00,  7.169e-01, -2.185e-03,  7.299e-03, -2.232e-04,  1.524e-03,  2.100e-03, -1.434e-02, -4.370e-05,  1.460e-04, -1.040e-02, -1.524e-03,  5.529e-03,  3.414e+02,  5.529e-03,  3.414e+02,  1.161e-06,  7.169e-02,  1.161e-06, -5.294e-23,
 3.494e+06, -5.655e+01,  1.715e+00, -3.976e+01, -2.998e+00, -4.816e+01, -1.571e+00,  4.897e+00,  7.089e-01, -2.087e-03,  7.058e-03, -2.131e-04,  1.472e-03,  2.052e-03, -1.418e-02, -4.174e-05,  1.412e-04, -1.017e-02, -1.472e-03,  5.279e-03,  3.454e+02,  5.279e-03,  3.454e+02,  1.083e-06,  7.089e-02,  1.083e-06,  5.294e-23,
 3.534e+06, -5.685e+01,  1.713e+00, -3.996e+01, -3.000e+00, -4.841e+01, -1.571e+00,  4.900e+00,  7.010e-01, -1.994e-03,  6.826e-03, -2.035e-04,  1.422e-03,  2.006e-03, -1.402e-02, -3.988e-05,  1.365e-04, -9.942e-03, -1.422e-03,  5.043e-03,  3.495e+02,  5.043e-03,  3.495e+02,  1.011e-06,  7.010e-02,  1.011e-06, -5.294e-23,
 3.574e+06, -5.715e+01,  1.711e+00, -4.016e+01, -3.001e+00, -4.865e+01, -1.571e+00,  4.902e+00,  6.933e-01, -1.906e-03,  6.605e-03, -1.944e-04,  1.375e-03,  1.961e-03, -1.387e-02, -3.813e-05,  1.321e-04, -9.722e-03, -1.375e-03,  4.820e-03,  3.535e+02,  4.820e-03,  3.535e+02,  9.452e-07,  6.933e-02,  9.452e-07,  0.000e+00,
 3.614e+06, -5.744e+01,  1.710e+00, -4.035e+01, -3.003e+00, -4.890e+01, -1.571e+00,  4.904e+00,  6.857e-01, -1.823e-03,  6.393e-03, -1.859e-04,  1.330e-03,  1.918e-03, -1.371e-02, -3.647e-05,  1.279e-04, -9.509e-03, -1.329e-03,  4.609e-03,  3.576e+02,  4.609e-03,  3.576e+02,  8.839e-07,  6.857e-02,  8.839e-07,  5.294e-23,
 3.655e+06, -5.773e+01,  1.708e+00, -4.055e+01, -3.004e+00, -4.914e+01, -1.571e+00,  4.906e+00,  6.783e-01, -1.745e-03,  6.190e-03, -1.778e-04,  1.286e-03,  1.876e-03, -1.357e-02, -3.490e-05,  1.238e-04, -9.303e-03, -1.286e-03,  4.410e-03,  3.616e+02,  4.410e-03,  3.616e+02,  8.272e-07,  6.783e-02,  8.272e-07,  2.647e-23,
 3.695e+06, -5.802e+01,  1.707e+00, -4.074e+01, -3.006e+00, -4.938e+01, -1.571e+00,  4.908e+00,  6.711e-01, -1.671e-03,  5.995e-03, -1.702e-04,  1.245e-03,  1.835e-03, -1.342e-02, -3.341e-05,  1.199e-04, -9.104e-03, -1.245e-03,  4.222e-03,  3.657e+02,  4.222e-03,  3.657e+02,  7.747e-07,  6.711e-02,  7.747e-07,  0.000e+00,
 3.735e+06, -5.830e+01,  1.705e+00, -4.092e+01, -3.007e+00, -4.961e+01, -1.571e+00,  4.910e+00,  6.640e-01, -1.600e-03,  5.809e-03, -1.630e-04,  1.205e-03,  1.796e-03, -1.328e-02, -3.200e-05,  1.162e-04, -8.911e-03, -1.205e-03,  4.043e-03,  3.697e+02,  4.043e-03,  3.697e+02,  7.260e-07,  6.640e-02,  7.260e-07,  0.000e+00,
 3.775e+06, -5.858e+01,  1.704e+00, -4.111e+01, -3.009e+00, -4.985e+01, -1.571e+00,  4.912e+00,  6.571e-01, -1.534e-03,  5.630e-03, -1.561e-04,  1.167e-03,  1.758e-03, -1.314e-02, -3.067e-05,  1.126e-04, -8.724e-03, -1.167e-03,  3.874e-03,  3.738e+02,  3.874e-03,  3.738e+02,  6.809e-07,  6.571e-02,  6.809e-07, -2.647e-23,
 3.815e+06, -5.886e+01,  1.702e+00, -4.129e+01, -3.010e+00, -5.008e+01, -1.571e+00,  4.914e+00,  6.503e-01, -1.470e-03,  5.458e-03, -1.496e-04,  1.130e-03,  1.721e-03, -1.301e-02, -2.940e-05,  1.092e-04, -8.543e-03, -1.130e-03,  3.713e-03,  3.778e+02,  3.713e-03,  3.778e+02,  6.390e-07,  6.503e-02,  6.390e-07,  0.000e+00,
 3.855e+06, -5.913e+01,  1.701e+00, -4.147e+01, -3.011e+00, -5.030e+01, -1.571e+00,  4.916e+00,  6.436e-01, -1.410e-03,  5.293e-03, -1.434e-04,  1.096e-03,  1.685e-03, -1.287e-02, -2.820e-05,  1.059e-04, -8.367e-03, -1.095e-03,  3.561e-03,  3.819e+02,  3.561e-03,  3.819e+02,  6.001e-07,  6.436e-02,  6.001e-07,  0.000e+00,
 3.896e+06, -5.941e+01,  1.700e+00, -4.165e+01, -3.013e+00, -5.053e+01, -1.571e+00,  4.917e+00,  6.371e-01, -1.353e-03,  5.135e-03, -1.376e-04,  1.062e-03,  1.651e-03, -1.274e-02, -2.706e-05,  1.027e-04, -8.197e-03, -1.062e-03,  3.416e-03,  3.859e+02,  3.416e-03,  3.859e+02,  5.639e-07,  6.371e-02,  5.639e-07,  0.000e+00,
